Erick,Guachagmira,2156765635,dsafdssa,0986532341
Er,G,2132131232,sad,3123124123
E,G,2313465464,fdsadas,0948347178
Erick,G,2112412312,dsadasdasdsa,2131231231
E,G,2131231231,dasdasfasd,2131231312
da,da,2311231232,as,2132132131
E,A,2312412331,fdadas,2312321321
E,A,2131241231,dsadas,3132131232
A,A,1231232131,ds,3213123123
a,a,3333333333,s,3333333333
A,A,1232131232,as,3213213213
a,a,3213213213,dsa,3213132121
a,a,1232313213,dasdas,3312321231
a,a,2132313213,sda,2131231231
a,a,2111111111,as,2111111111
a,a,2131111111,sa2,2222222222
a,a,2131231232,a,3123213123
a,a,2311231231,a,2312131231
a,a,3211232132,sdadsa,2313123213
a,a,2111111111,as,1111111111
a,a,2311231232,dasdsa,2133214231
a,a,2312312312,sad,2313213123
a,a,3213123213,dsadas,2132131231
a,a,3213213123,dasdsa,2311232132
sad,dsa,2313123123,das,2313213123
a,a1,1111111111,sda,2222222222
a,a,2311111111,a,1111111111
a,a1,1111111111,s,1111111111
a,a,1111111111,12,1111111111
a,2dsadsa,3213213213,dasdas,2312132131
a,a1,1111111111,a,1111111111
a,a,3213213213,a,3213213213
a,a,1111111111,1a,1111111111
